Description,Gene,LB_copies_per_cell,LB_coef_of_var
Heat shock protein 15 OS=Escherichia coli (strain K12) GN=hslR PE=1 SV=1,hslR,67,17.20
Betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=betB PE=1 SV=3,betB,145,43.83
Nuclease sbcCD subunit C OS=Escherichia coli (strain K12) GN=sbcC PE=1 SV=1,sbcC,10,10.38
UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2,tsaA,98,11.36
Sulfate transport system permease protein CysT OS=Escherichia coli (strain K12) GN=cysU PE=3 SV=1,cysU,106,3.97
5-hydroxyisourate hydrolase OS=Escherichia coli (strain K12) GN=hiuH PE=1 SV=1,hiuH,54,5.80
"6-carboxy-5,6,7,8-tetrahydropterin synthase OS=Escherichia coli (strain K12) GN=queD PE=1 SV=1",queD,593,4.05
Nitrogen regulatory protein P-II 2 OS=Escherichia coli (strain K12) GN=glnK PE=1 SV=1,glnK,3,41.51
Ribonuclease T OS=Escherichia coli (strain K12) GN=rnt PE=1 SV=1,rnt,377,10.49
Inner membrane protein yhjD OS=Escherichia coli (strain K12) GN=yhjD PE=1 SV=1,yhjD,54,6.18
Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1,rsxG,123,5.93
Uncharacterized HTH-type transcriptional regulator yieP OS=Escherichia coli (strain K12) GN=yieP PE=4 SV=3,yieP,261,11.77
UPF0033 protein yedF OS=Escherichia coli (strain K12) GN=yedF PE=1 SV=1,yedF,1024,10.98
Protein sufA OS=Escherichia coli (strain K12) GN=sufA PE=1 SV=1,sufA,343,3.96
High frequency lysogenization protein hflD OS=Escherichia coli (strain K12) GN=hflD PE=1 SV=1,hflD,274,15.01
Ferric enterobactin transport ATP-binding protein FepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2,fepC,6,63.31
Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli (strain K12) GN=lolC PE=1 SV=1,lolC,48,4.33
Glycerol-3-phosphate regulon repressor OS=Escherichia coli (strain K12) GN=glpR PE=1 SV=1,glpR,145,8.78
Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1,lnt,71,5.46
Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1,mraY,29,18.65
Uncharacterized lipoprotein ymbA OS=Escherichia coli (strain K12) GN=ymbA PE=4 SV=2,ymbA,141,5.80
Heat shock protein hslJ OS=Escherichia coli (strain K12) GN=hslJ PE=1 SV=1,hslJ,94,15.37
Cytochrome o ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=cyoC PE=1 SV=1,cyoC,58,16.70
Mannose permease IIC component OS=Escherichia coli (strain K12) GN=manY PE=1 SV=1,manY,139,12.81
Twin-arginine leader-binding protein dmsD OS=Escherichia coli (strain K12) GN=dmsD PE=1 SV=2,dmsD,163,24.27
Protein QmcA OS=Escherichia coli (strain K12) GN=qmcA PE=1 SV=1,qmcA,28,33.32
Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1,borD,7107,10.23
DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1,fis,11961,10.59
Protein slyX OS=Escherichia coli (strain K12) GN=slyX PE=3 SV=1,slyX,450,10.11
UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1,yfcN,69,7.04
Isopentenyl-diphosphate Delta-isomerase OS=Escherichia coli (strain K12) GN=idi PE=1 SV=1,idi,32,15.65
Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1,zntB,30,11.35
Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1,rsmD,75,6.13
Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1,tolA,87,26.56
Uncharacterized N-acetyltransferase YncA OS=Escherichia coli (strain K12) GN=yncA PE=3 SV=1,mnaT,17,31.93
PTS system trehalose-specific EIIBC component OS=Escherichia coli (strain K12) GN=treB PE=1 SV=4,treB,293,22.73
Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1,yajD,122,4.36
Acetyltransferase YpeA OS=Escherichia coli (strain K12) GN=ypeA PE=3 SV=2,ypeA,179,22.25
Uncharacterized protein yciG OS=Escherichia coli (strain K12) GN=yciG PE=1 SV=1,yciG,69,15.22
Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1,ycjX,56,11.57
Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1,yfdC,29,64.68
Probable diguanylate cyclase YedQ OS=Escherichia coli (strain K12) GN=yedQ PE=2 SV=2,yedQ,11,16.13
Nicotinate-nucleotide adenylyltransferase OS=Escherichia coli (strain K12) GN=nadD PE=1 SV=1,nadD,67,1.40
Multidrug resistance protein mdtK OS=Escherichia coli (strain K12) GN=mdtK PE=1 SV=2,mdtK,16,68.94
Uncharacterized protein YrbA OS=Escherichia coli (strain K12) GN=yrbA PE=1 SV=1,yrbA,606,12.06
Phosphatase nudJ OS=Escherichia coli (strain K12) GN=nudJ PE=1 SV=1,nudJ,31,14.12
Phosphopantetheine adenylyltransferase OS=Escherichia coli (strain K12) GN=coaD PE=1 SV=1,coaD,64,10.87
Protein CyaY OS=Escherichia coli (strain K12) GN=cyaY PE=1 SV=1,cyaY,178,9.90
HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1,yiaJ,51,19.66
Protein YobA OS=Escherichia coli (strain K12) GN=yobA PE=1 SV=1,yobA,106,13.70
Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1,pabB,45,14.96
Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3,yjjA,400,10.49
Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1,focA,46,14.30
Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1,yhhM,76,3.13
Long-chain acyl-CoA thioesterase tesC OS=Escherichia coli (strain K12) GN=tesC PE=1 SV=1,fadM,16,18.51
Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1,sapA,42,6.84
Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2,ydcH,44,75.31
Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2,plsX,72,6.66
Glycolate oxidase subunit glcD OS=Escherichia coli (strain K12) GN=glcD PE=3 SV=1,glcD,97,18.56
Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1,proW,1314,13.14
Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1,fetA,162,4.16
Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2,hisQ,20,31.58
DNA polymerase III subunit psi OS=Escherichia coli (strain K12) GN=holD PE=1 SV=1,holD,34,64.99
Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1,deoR,34,14.14
"Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1",yafK,15,9.26
Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2,ycgB,36,10.03
Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1,bioH,68,19.39
Esterase YbdB OS=Escherichia coli (strain K12) GN=ybdB PE=1 SV=1,entH,7,22.30
Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1,yahJ,8,55.05
Uncharacterized HTH-type transcriptional regulator ydjF OS=Escherichia coli (strain K12) GN=ydjF PE=1 SV=1,ydjF,68,16.14
Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2,pspF,17,30.37
Sensor protein phoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1,phoQ,32,20.58
Protein rdoA OS=Escherichia coli (strain K12) GN=rdoA PE=1 SV=1,rdoA,108,7.69
Protein YhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=3,yhjK,4,22.83
Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2,eutC,13,31.23
Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1,zapE,31,19.30
Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1,bcsG,38,15.68
Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1,ynbE,104,9.46
Uncharacterized protein ylbA OS=Escherichia coli (strain K12) GN=ylbA PE=1 SV=1,ylbA,44,65.94
Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1,bioD,11,31.17
Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2,uidA,6,82.22
Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1,ompW,183,14.38
Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1,chaB,22,14.99
Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1,rnhA,36,2.65
Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2,baeS,15,21.20
Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1,cutA,20,61.63
Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2,rlmF,44,32.09
5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1,yfbR,63,12.19
Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1,ybbA,45,16.90
UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2,yceG,15,18.01
Uncharacterized protein ybjS OS=Escherichia coli (strain K12) GN=ybjS PE=4 SV=2,ybjS,24,21.79
Ribose transport system permease protein rbsC OS=Escherichia coli (strain K12) GN=rbsC PE=1 SV=1,rbsC,25,13.62
Protein hnr OS=Escherichia coli (strain K12) GN=hnr PE=1 SV=1,rssB,5,11.83
Uroporphyrinogen decarboxylase OS=Escherichia coli (strain K12) GN=hemE PE=1 SV=3,hemE,10,4.87
Ferrous iron transport protein B OS=Escherichia coli (strain K12) GN=feoB PE=1 SV=1,feoB,12,39.98
Ferrochelatase OS=Escherichia coli (strain K12) GN=hemH PE=1 SV=3,hemH,61,6.62
Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2,pqqL,8,25.40
"Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1",alr,15,12.22
UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1,uvrC,2,115.04
Primosomal protein 1 OS=Escherichia coli (strain K12) GN=dnaT PE=1 SV=2,dnaT,140,20.49
Antitoxin RelB OS=Escherichia coli (strain K12) GN=relB PE=1 SV=1,relB,275,5.33
Ribosomal-protein-alanine acetyltransferase OS=Escherichia coli (strain K12) GN=rimI PE=3 SV=1,rimI,55,19.70
Uncharacterized transcriptional regulator yjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2,yjhU,15,32.36
Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2,aas,12,9.71
D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2,dacB,12,24.42
Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1,rnpA,310,5.89
HTH-type transcriptional regulator ebgR OS=Escherichia coli (strain K12) GN=ebgR PE=4 SV=2,ebgR,31,15.80
Lipopolysaccharide core heptose(II) kinase rfaY OS=Escherichia coli (strain K12) GN=rfaY PE=3 SV=2,rfaY,18,26.88
HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1,puuR,149,11.21
Glycolate permease glcA OS=Escherichia coli (strain K12) GN=glcA PE=1 SV=1,glcA,9,34.82
Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3,basR,21,5.72
Xylose transport system permease protein xylH OS=Escherichia coli (strain K12) GN=xylH PE=1 SV=1,xylH,0,166.26
L-2-hydroxyglutarate oxidase LhgO OS=Escherichia coli (strain K12) GN=lhgO PE=1 SV=3,lhgO,18,52.40
HTH-type transcriptional regulator frlR OS=Escherichia coli (strain K12) GN=frlR PE=1 SV=2,frlR,29,23.33
tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1,ttcA,204,7.45
L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2,ansB,64,12.84
Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1,yafC,18,15.94
Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2,kdpD,2,6.30
Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1,,20,7.49
Uncharacterized protein ydiZ OS=Escherichia coli (strain K12) GN=ydiZ PE=4 SV=1,ydiZ,15,17.23
Glucitol operon repressor OS=Escherichia coli (strain K12) GN=srlR PE=2 SV=1,srlR,11,25.33
Inner membrane protein YqjA OS=Escherichia coli (strain K12) GN=yqjA PE=1 SV=1,yqjA,17,5.93
Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) GN=gcvA PE=1 SV=1,gcvA,4,6.35
Cytochrome bd-II oxidase subunit 1 OS=Escherichia coli (strain K12) GN=appC PE=1 SV=1,appC,4,3.71
Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1,cysW,9,10.04
Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1,exuR,94,15.17
N-acetyl-D-glucosamine kinase OS=Escherichia coli (strain K12) GN=nagK PE=1 SV=1,nagK,19,5.15
Disulfide bond formation protein B OS=Escherichia coli (strain K12) GN=dsbB PE=1 SV=1,dsbB,94,14.25
HTH-type transcriptional regulator metR OS=Escherichia coli (strain K12) GN=metR PE=4 SV=1,metR,38,10.52
Formate hydrogenlyase subunit 5 OS=Escherichia coli (strain K12) GN=hycE PE=1 SV=1,hycE,0,4.69
Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1,barA,4,28.91
Cysteine sulfinate desulfinase OS=Escherichia coli (strain K12) GN=csdA PE=1 SV=1,csdA,25,31.57
4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2,wecF,14,19.11
Phosphatase YbjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3,ybjI,32,15.54
Ribose-5-phosphate isomerase B OS=Escherichia coli (strain K12) GN=rpiB PE=1 SV=2,rpiB,74,15.36
OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1,cnu,195,8.27
Protease 2 OS=Escherichia coli (strain K12) GN=ptrB PE=1 SV=2,ptrB,5,78.78
Deoxyguanosinetriphosphate triphosphohydrolase OS=Escherichia coli (strain K12) GN=dgt PE=1 SV=4,dgt,3,34.76
Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1,sdhD,188,22.67
Maltose O-acetyltransferase OS=Escherichia coli (strain K12) GN=maa PE=1 SV=3,maa,511,4.66
Autoinducer 2 import ATP-binding protein LsrA OS=Escherichia coli (strain K12) GN=lsrA PE=1 SV=1,lsrA,1,0.86
N-succinylglutamate 5-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=astD PE=1 SV=1,astD,10,58.79
DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1,dnaQ,35,53.57
Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1,nrfA,0,116.79
Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1,rsfS,185,5.67
Autoinducer 2-degrading protein lsrG OS=Escherichia coli (strain K12) GN=lsrG PE=1 SV=1,lsrG,3,76.05
Phosphoethanolamine transferase eptB OS=Escherichia coli (strain K12) GN=eptB PE=1 SV=3,eptB,3,26.01
Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1,flgH,2,77.26
Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=4 SV=1,xylR,8,75.37
Chemotaxis protein CheY OS=Escherichia coli (strain K12) GN=cheY PE=1 SV=2,cheY,20,19.59
HTH-type transcriptional repressor CytR OS=Escherichia coli (strain K12) GN=cytR PE=1 SV=1,cytR,22,21.41
Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1,fes,2,13.60
Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1,ydfZ,13,16.22
Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2,yeiU,55,31.56
Uncharacterized protein yebG OS=Escherichia coli (strain K12) GN=yebG PE=4 SV=1,yebG,832,4.44
Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1,rseP,14,10.22
Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1,uhpA,62,26.66
Acetoacetate metabolism regulatory protein AtoC OS=Escherichia coli (strain K12) GN=atoC PE=3 SV=2,atoC,12,28.42
Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1,tdk,145,13.01
Low affinity tryptophan permease OS=Escherichia coli (strain K12) GN=tnaB PE=1 SV=1,tnaB,365,24.04
Acetate operon repressor OS=Escherichia coli (strain K12) GN=iclR PE=1 SV=1,iclR,14,41.60
Glucitol/sorbitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=srlE PE=1 SV=1,srlE,185,127.22
Ferric iron reductase protein fhuF OS=Escherichia coli (strain K12) GN=fhuF PE=1 SV=1,fhuF,1,124.87
Inactive ribonuclease PH OS=Escherichia coli (strain K12) GN=rph PE=3 SV=1,rph,113,54.30
Ribosomal large subunit pseudouridine synthase F OS=Escherichia coli (strain K12) GN=rluF PE=1 SV=1,rluF,11,27.49
Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3,ilvG,44,17.51
Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2,dedD,84,12.10
RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=3 SV=1,fliA,3,28.37
N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2,amiB,11,9.06
Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1,rsxC,20,19.31
Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1,eutM,64,98.52
Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2,rnhB,213,12.10
Nickel-binding periplasmic protein OS=Escherichia coli (strain K12) GN=nikA PE=1 SV=1,nikA,0,19.27
Isoform cheA(S) of Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA,cheA,3,9.34
Uncharacterized protein yddH OS=Escherichia coli (strain K12) GN=yddH PE=3 SV=2,yddH,3,63.51
Uncharacterized protein yqcA OS=Escherichia coli (strain K12) GN=yqcA PE=3 SV=1,yqcA,277,26.00
L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1,fucR,113,7.68
Probable ubiquinone biosynthesis protein UbiB OS=Escherichia coli (strain K12) GN=ubiB PE=1 SV=1,ubiB,9,24.40
L-serine dehydratase 1 OS=Escherichia coli (strain K12) GN=sdaA PE=1 SV=3,sdaA,90,26.64
Uncharacterized protein yqcC OS=Escherichia coli (strain K12) GN=yqcC PE=1 SV=1,yqcC,352,15.77
Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1,ftsL,74,6.59
"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Escherichia coli (strain K12) GN=pgaB PE=1 SV=1",pgaB,1,46.99
Glycolate oxidase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=glcF PE=4 SV=1,glcF,3,24.84
"Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1",ycfS,25,31.45
Inner membrane protein yqjE OS=Escherichia coli (strain K12) GN=yqjE PE=1 SV=1,yqjE,25,42.38
Shikimate transporter OS=Escherichia coli (strain K12) GN=shiA PE=3 SV=1,shiA,5,19.28
Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1,ybjX,22,9.78
Uncharacterized protein yrdD OS=Escherichia coli (strain K12) GN=yrdD PE=4 SV=2,yrdD,3,9.76
Galactoside transport system permease protein mglC OS=Escherichia coli (strain K12) GN=mglC PE=1 SV=1,mglC,34,23.58
Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3,asr,1,0.57
Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1,malF,6,76.51
2-dehydro-3-deoxy-6-phosphogalactonate aldolase OS=Escherichia coli (strain K12) GN=dgoA PE=1 SV=1,dgoA,0,1.45
"Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1",fdoI,27,79.65
Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2,gltP,7,18.81
Hydrogenase-1 small chain OS=Escherichia coli (strain K12) GN=hyaA PE=1 SV=1,hyaA,2,167.32
HTH-type transcriptional regulator galS OS=Escherichia coli (strain K12) GN=galS PE=1 SV=2,galS,0,1.76
Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1,glpC,40,154.75
Uncharacterized oxidoreductase yeiT OS=Escherichia coli (strain K12) GN=yeiT PE=4 SV=1,preT,101,104.92
Replication-associated recombination protein A OS=Escherichia coli (strain K12) GN=rarA PE=1 SV=1,rarA,15,64.41
Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1,ecnB,7923,5.35
Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1,osmB,973,5.04
50S ribosomal protein L36 OS=Escherichia coli (strain K12) GN=rpmJ PE=1 SV=1,rpmJ,13630,49.09
Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1,argR,931,5.40
Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1,ybeY,35,61.03
GTPase Obg/CgtA OS=Vibrio harveyi GN=cgtA PE=1 SV=1,cgtA,185,95.14
Inner membrane amino-acid ABC transporter permease protein yecS OS=Escherichia coli (strain K12) GN=yecS PE=1 SV=1,yecS,44,18.56
Esterase yjfP OS=Escherichia coli (strain K12) GN=yjfP PE=1 SV=1,yjfP,362,9.89
Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2,cdsA,81,35.39
ATP synthase subunit c OS=Escherichia coli (strain K12) GN=atpE PE=1 SV=1,atpE,565,14.74
UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1,yejL,501,5.93
Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1,ybdZ,33,34.04
Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1,ghxP,116,31.43
Sulfurtransferase tusA OS=Escherichia coli (strain K12) GN=tusA PE=1 SV=1,tusA,369,28.30
Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2,wbbJ,165,24.13
Protein mpaA OS=Escherichia coli (strain K12) GN=mpaA PE=4 SV=2,mpaA,15,8.41
Esterase yqiA OS=Escherichia coli (strain K12) GN=yqiA PE=4 SV=1,yqiA,62,15.08
Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1,elaA,159,0.80
Uncharacterized protein yhcO OS=Escherichia coli (strain K12) GN=yhcO PE=3 SV=1,yhcO,32,70.47
Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) GN=mltB PE=1 SV=1,mltB,22,59.93
Cysteine desulfuration protein sufE OS=Escherichia coli (strain K12) GN=sufE PE=1 SV=1,sufE,1,124.11
Uncharacterized N-acetyltransferase YjgM OS=Escherichia coli (strain K12) GN=yjgM PE=3 SV=2,yjgM,82,12.17
Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1,yciS,39,78.25
Endo-type membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=emtA PE=1 SV=1,emtA,183,12.88
UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1,ycjF,34,25.68
UPF0341 protein yhiQ OS=Escherichia coli (strain K12) GN=yhiQ PE=1 SV=1,rsmJ,83,10.53
Uncharacterized response regulatory protein ypdB OS=Escherichia coli (strain K12) GN=ypdB PE=1 SV=1,ypdB,19,14.54
Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2,hicB,7,5.23
Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1,chaA,59,10.06
Uncharacterized protein yecF OS=Escherichia coli (strain K12) GN=yecF PE=4 SV=1,yecF,1184,21.39
NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain K12) GN=nuoK PE=1 SV=1,nuoK,384,9.76
Uncharacterized protein ybgJ OS=Escherichia coli (strain K12) GN=ybgJ PE=4 SV=1,ybgJ,174,8.54
Membrane-bound lytic murein transglycosylase C OS=Escherichia coli (strain K12) GN=mltC PE=2 SV=1,mltC,1,68.96
Uncharacterized protein yraR OS=Escherichia coli (strain K12) GN=yraR PE=4 SV=2,yraR,9,22.51
50S ribosomal protein L35 OS=Escherichia coli (strain K12) GN=rpmI PE=1 SV=2,rpmI,113,18.96
Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1,ybbO,63,4.97
DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1,djlA,0,133.28
Spermidine/putrescine transport system permease protein potC OS=Escherichia coli (strain K12) GN=potC PE=3 SV=1,potC,90,24.06
Dihydroneopterin aldolase OS=Escherichia coli (strain K12) GN=folB PE=1 SV=1,folB,276,92.05
NADH-quinone oxidoreductase subunit N OS=Escherichia coli (strain K12) GN=nuoN PE=1 SV=2,nuoN,133,55.69
"Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1",btuR,545,7.20
Dihydrofolate reductase folM OS=Escherichia coli (strain K12) GN=folM PE=1 SV=1,folM,39,1.87
Rac prophage repressor OS=Escherichia coli (strain K12) GN=racR PE=4 SV=1,racR,108,12.39
Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1,lptC,89,7.77
